SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;PEMBAHASAN 
Pak Bejo seorang pedagang menjual sebuah barang dengan harga Rp 80.000,00 dan memperoleh laba 25%. Berapa harga belinya?;Rp120.000,00;Rp64.000,00;Rp60.000,00;Rp100.000,00;;b;"Harga beli + laba = harga jual ; Misalkan Y = harga beli ; Y + 0,25Y = Rp 80.000 ; Y = Rp 80.000/1,25 ; Y = Rp 64.000. Jadi, harga belinya adalah Rp 64.000"
Pak Aditya membeli tiga jerigen minyak goreng masing- masing berisi 25 liter dengan harga Rp 600.000,00 dan menjualnya dengan mengharapkan laba 5% dari harga beli. Beberapa hari kemudian harga minyak goreng turun dan Pak Aditya terpaksa harus menjual sisa persediaan minyak goreng sebanyak 21 liter dengan harga Rp7.400,00/liter. Berapa laba/rugi yang diperoleh Pak Aditya setelah semua minyak goreng itu terjual habis?;Laba 1,5%;Rugi 1,5%;Laba 2,2%;Rugi 2,2%;;a;"75 L = Rp 600.000 ; 1 L = Rp 8.000 ; Laba 5% = 5% x Rp 8.000 = Rp 400 ; Harga penjualan sebelum minyak turun = Rp 8.000 + Rp 400 = Rp 8.400 ; Minyak yang terjual sebelum harga turun = Rp 8.400 x 54 L = Rp 453.600 ; Minyak yang terjual setelah harga turun = Rp 7.400 x 21 L = Rp 155.400 ; Pendapatan = Rp 453.600 + Rp 155.400 = 609.000 ; Laba = Rp 609.000 – Rp 600.000 = Rp 9.000 ; Persentase laba = Rp 9.000 / Rp 600.000 x 100% = 1,5% Laba. Jadi yang didapatkan adalah laba sebesar 1,5%"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
