SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
"                        8                                                                                    7


   16                4                 24                                           11               ?                15


                       10                                                                                  8
";3;5;7;4;6;b;;;;;;Perhatikan bilangan di sebelah kiri dan kanan. Bilangan di kanan merupakan hasil dari bilangan yang berada di kiri dibagi dengan 2 dan di tambahkan dengan angka 3 sehingga menghasilkan angka di sebelah kanan
Jika x/y = 1/2, nilai dari 5y/2 . 1/x adalah…;6;7;8;5;4;d;;;;;;"x/y = 1/2, maka y/x = 2 ; 5y/2 . 1/x = 5/2 . y/x, substitusikan y/x dengan 2 sehingga menjadi 5/2 . 2 = 5 (D)"
Natasha memiliki 2 jenis pohon anggur di depan rumahnya. Pohon anggur jenis M menghasilkan 20% lebih banyak buah dibanding jenis N. Jika pada suatu hari, Natasha memanen buah anggur jenis M sebanyak 144 buah, maka buah anggur jenis N yang dihasilkan adalah sebanyak ..... buah.;100;115;120;124;130;c;;;;;;"M = 20%N + N, M = 120%N ; N = 100/120 x M ; M = 144 Buah, N =100/120 x 144 = 5/6 x 144 = 120 Buah (C)"
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang benar?";Kurikulum termasuk sumber daya pendidikan.;Buku-buku pelajaran merupakan kurikulum pendidikan.;Alat bantu mengajar termasuk sumber daya pendidikan.;Tenaga kependidikan termasuk sumber daya pendidikan.;Dana pengelolaan yang memadai termasuk satuan pendidikan.;c;;;;;;Alat bantu mengajar adalah bagian dari sumber belajar. Sedangkan sumber belajar bagian dari sumber daya pendidikan. Jadi, pernyataan yang benar adalah alat bantu mengajar termasuk sumber daya pendidikan (C).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun Berdasarkan paragraf 1, jika dana pengelolaan tidak memadai, manakah di bawah ini simpulan yang benar?";Komponen-komponen sistem pendidikan tidak dapat berfungsi.;Sistem pendidikan tidak memiliki satuan-satuan pendidikan.;Sumber daya pendidikan tidak memiliki kelengkapan.;Tenaga kependidikan tetap dapat berfungsi.;Sistem pendidikan tidak memiliki kurikulum.;a;;;;;;Perhatikan kalimat pertama paragraf pertama! “Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan”. Dana pengelolaan yang memadai adalah bagian dari salah satu sarana penunjang satuan pendidikan. Padahal komponen sistem pendidikan bergantung pada sarana tersebut. Jadi, jika dana pengelolaan tidak memadai maka komponen-komponen sistem pendidikan tidak dapat berfungsi (A).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun Berdasarkan paragraf 2, jika tahun 2019 anggaran pendidikan mencapai Rp492,5 triliun, manakah di bawah ini simpulan yang paling mungkin benar?";Pemerintah melaksanakan isi konstitusi negara.;Pemerintah tidak memperbaiki ruang kelas yang rusak.;Pemerintah membayar gaji pendidik dengan dana APBD.;Pemerintah menaikkan anggaran pendidikan sebesar 20%.;Pemerintah menerapkan UU terbaru untuk menunjang sistem pendidikan.;a;;;;;;Perhatikan petikan kalimat ketiga paragraf 2 berikut ini! “Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun”. Kalimat tersebut mengindikasikan bahwa pemerintah telah melaksanakan amanat UU Nomor 20 Tahun 2003 pasal 49 ayat (1). Jadi, simpulan yang paling mungkin adalah pemerintah melaksanakan isi konstitusi negara (A).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun Berdasarkan paragraf 2, manakah pernyataan di bawah ini yang paling mungkin benar mengenai anggaran pendidikan tahun 2019?";Anggaran pendidikan akan disimpan sebagai dana alokasi khusus.;Anggaran pendidikan akan diberikan kepada 20,1 juta siswa melalui dana BOS.;Anggaran pendidikan sebesar 57 persen akan dihibahkan ke Kementerian Agama.;Anggaran pendidikan akan digunakan untuk memperbaiki 56 ribu gedung sekolah.;Anggaran pendidikan akan diberikan kepada 472 ribu mahasiswa sebagai beasiswa.;e;;;;;;Anggaran pendidikan untuk beasiswa Bidik Misi diberikan kepada 472 ribu mahasiswa. [opsi E benar]. Jadi, pernyataan yang paling mungkin adalah anggaran pendidikan akan diberikan kepada 472 ribu mahasiswa sebagai beasiswa (E).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun. Berdasarkan data statistik, pada tahun berapa anggaran pendidikan melebihi Rp450 triliun?";2015;2016;2017;2018;2019;e;;;;;;Anggaran pendidikan tahun 2019 melebihi Rp450 triliun, tepatnya Rp492,5 triliun (sesuai isi bacaan). Jadi, anggaran pendidikan melebihi Rp450 triliun terjadi pada tahun 2019 (E).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun. Berdasarkan data statistik, pada tahun berapa anggaran pendidikan menunjukkan angka terendah?";2011;2012;2013;2014;2015;a;;;;;;Anggaran terendah terjadi pada tahun 2011, yaitu sekitar Rp250 triliun. Jadi, anggaran pendidikan menunjukkan angka terendah terjadi pada tahun 2011 (A).
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun. Berdasarkan data statistik, manakah di bawah ini simpulan yang paling mungkin benar?";Anggaran pendidikan Indonesia tidak meningkat setiap tahun.;Anggaran pendidikan Indonesia mengalami penurunan sejak tahun 2016.;Anggaran pendidikan Indonesia berada pada rentang Rp300 – Rp500 triliun.;Anggaran pendidikan Indonesia selalu mengalami peningkatan setiap tahun.;Anggaran pendidikan Indonesia tahun 2016 –2017 tidak mengalami peningkatan.;d;;;;;;Anggaran pendidikan Indonesia selalu naik dari tahun ke tahun. Jadi, simpulan yang paling mungkin adalah Anggaran pendidikan Indonesia selalu mengalami peningkatan setiap tahun (D).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Judul yang paling tepat untuk melengkapi tulisan di atas adalah ….;Efek Senyawa Antimikroba;Kebutuhan Senyawa Antimikroba;Jenis-jenis Senyawa Antimikroba;Kandungan Senyawa Antimikroba;Keunggulan Senyawa Antimikroba;a;;;;;;Jenis paragraf di atas adalah deduktif, kalimat utamanya di awal paragraf. Perhatikan kalimat pertama paragraf tersebut. “Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri”. Kemudian diperjelas kalimat kedua, “Efek tersebut … “. Maksudnya efek dari senyawa antimikroba. Jadi, judul yang paling tepat untuk tulisan di atas adalah Efek Senyawa Antimikroba (A).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Kata hubung yang tepat untuk melengkapi titik-titik pada kalimat 2 adalah ….;dan;atau;maupun;walaupun;meskipun;b;;;;;;Mengacu pada kalimat pertama, “…membunuh atau menghambat …”, yang mana bakterisidal bersifat membunuh sedangkan bakteriostatik bersifat menghambat. Sehingga kata hubung yang tepat untuk kedua kata tersebut adalah atau. Jadi, kata hubung yang pada kalimat 2 adalah atau (B).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Kata hubung yang tepat untuk melengkapi titik-titik pada kalimat 3 adalah ….;tetapi;namun;meskipun;sedangkan;bagaimanapun;b;;;;;;Kalimat 3 berasal dua kalimat yang digabungkan. Dua kalimat asal tersebut kedudukannya setara. Menggabungkan dua kalimat setara menjadi satu kalimat, menggunakan kata hubung sedangkan. Jadi, kata hubung yang tepat pada kalimat 3 adalah sedangkan (D).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Kata berimbuhan yang tepat untuk melengkapi titik-titik pada kalimat 4 adalah ….;Dicirikan;Ditemukan;Ditentukan;Dilanjutkan;Dimunculkan;b;;;;;;Kalimat 4 ini mempunyai susunan yang sama dengan kalimat 5. Pada kalimat 5 digunakan kata terlihat. Kata yang hampir sama dengan terlihat adalah ditemukan. jadi, kata berimbuhan yang tepat pada kalimat 4 adalah ditemukan (B).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Kata yang paling tepat untuk melengkapi titik-titik pada kalimat 5 adalah ….;Fase;Fasa;Massa;Tahapan;Kesempatan;a;;;;;;Kata yang paling tepat untuk melengkapi titik-titik pada kalimat 5 adalah fase. Sedangkan fasa adalah kata yang tidak baku. Jadi, kata yang paling tepat pada kalimat 5 adalah fase (A).
(1)Senyawa antimikroba merupakan senyawa yang dapat membunuh atau menghambat pertumbuhan bakteri. (2)Efek tersebut dapat berlaku bakterisidal [...] bakteriostatik. (3)Bahan yang menghambat pertumbuhan bakteri disebut bakteriostatik, [...] yang dapat membunuh bakteri disebut bakterisidal. (4)Bakteri dalam kondisi bakteriostatik [...] dengan jumlah pertumbuhan sel yang lebih rendah daripada jumlah sel normal. (5)Bakteri dalam kondisi bakterisidal terlihat dengan jumlah pertumbuhan yang menurun drastis pada [...] stasioner. Kata berimbuhan yang salah digunakan pada paragraf tersebut adalah ….;Disebut;Berlaku;Menurun;Pertumbuhan;Menghambat;b;;;;;;Kata berimbuhan yang salah terdapat pada kalimat kedua, “Efek tersebut dapat berlaku bakterisidal …”. Seharusnya kata berlaku pada kalimat tersebut diganti dengan kata terjadi pada. Jadi, kata berimbuhan yang salah pada paragraf tersebut adalah berlaku (B).
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Judul yang paling tepat untuk melengkapi tulisan di atas adalah ….;Keadaan Nyata Pendidikan Indonesia;Masalah Utama Pendidikan Indonesia;Masalah-masalah Pendidikan Indonesia;Pelaksanaan Program Pendidikan Indonesia;Kekurangan-kekurangan Program Pendidikan Indonesia;b;;;;;;Jenis paragraf di atas adalah deduktif. Kalimat utamanya terletak di awal paragraf. Inti dari kalimat pertama adalah tiga masalah besar pendidikan Indonesia. Tiga masalah besar bisa diartikan masalah utama (opsi B). Sedangkan opsi C terlalu luas karena yang dibahas hanya tiga masalah. Jadi, judul yang paling tepat pada tulisan di atas adalah Masalah Utama Pendidikan Indonesia (B).
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Kata depan yang tepat untuk melengkapi kalimat 1 adalah ….;Dari;Bagi;Pada;Untuk;Kepada;c;;;;;;Kata depan kepada berhubungan dengan orang, sedangkan kata depan pada berhubungan kata benda selain orang. Jadi, kata depan yang tepat pada kalimat 1 adalah pada (C).
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Kata yang paling tepat untuk melengkapi titik-titik pada kalimat 3 adalah ….;Kaku;Luwes;Verbal;Kognitif;Psikomotor;d;;;;;;Titik-titik pada kalimat 3 berisi kata yang berlawanan dengan frase penguasaan keterampilan dan pembentukan kepribadian karena dihubungkan dengan kata daripada. Lawan dari frase penguasaan keterampilan dan pembentukan kepribadian adalah pengetahuan kognitif. Jadi, kata yang paling tepat pada kalimat 3 adalah kognitif (D).
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Kata yang paling tepat untuk melengkapi titik-titik pada kalimat 5 adalah ….;Ujian;Pelajaran;Substansi;Kreativitas;Keterampilan;e;;;;;;Titik-titik pada kalimat tersebut diisi dengan kata yang berlawanan dengan kata atau frase sebelumnya. “Mengutamakan ijazah atau gelar bertentangan dengan keterampilan yang dikuasai”. Jadi, kata yang paling tepat pada kalimat 5 adalah keterampilan (E).
