SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
Panjang rusuk kubus PQRS. YUVW adalah 6 cm. Titik X pada TW, pada UV , dan Z pada QR. Jika TX : XW = 1:2, UY : YV = 2 : 1, dan PXYZ membentuk bidang datar, maka volume bangun TUYX. PQZ adalah . . . cm3;180;80;72;36;;c;;;;;;"TX =2, UY =4, QZ =2, PQ =6 ; Volume Prisma = L.alas x tinggi ; TUYX.PQZ dapat dianggap sebagai prisma dengan L alas = rata-rata L.PTX dan L.QUYZ dan dengan tinggi PQ. ; L alas = [1/2.TX.TP + (UY + QZ).UQ/2] / 2 = 12 ; Volume = L alas x PQ = 12 X 6 = 72 cm^3"
Agus mencampur k kg kacang seharga Rp. l per kg dengan m kg kedelai seharga Rp. n per kg. Berapa harga jual campuran kacang jika ia berharap laba Rp.400 per kg?;(l + n)/(k+m) + 400;(l+n+400)/(k+m);(kl+mn)/(k+m) + 400;(kl + mn)/(l+n) + 400;;c;;;;;;"Model rata-rata gabungan ; $\bar { x } _{ \gab }=[({ \bar { x }  }_{ a }.{ n }_{ a }+{ \bar { x }  }_{ b }.{ n }_{ b })/{ n }_{ a }+{ n }_{ b }]+400$ ; Maka diperoleh (kl+mn) / (k+m) + 400"
Suatu kelas terdiri 48 siswa, 20 siswa gemar bergosip 19 siswa tidak gemar bergosip dan mengejek. Jika 1/8 dari seluruh siswa gemar bergosip & mengejek, berapa jumlah siswa yang hanya gemar mengejek?;8;9;11;13;;d;;;;;;"S (semesta) + I (irisan) = lain-lain ; 48 + 6 = 20 + 19 + x ; 54 – 39 = x ; x = 15"
Dari 130 orang yang disurvei terungkap bahwa 63 orang diantaranya pernah makan di restoran A dan 83 orang diantaranya pernah makan di restoran B. Di Antara yang berikut ini manakah yang tidak mungkin merupakan jumlah orang yang pernah makan di restoran A dan B ?;30;26;20;12;;d;;;;;;Jumlah minimal orang yang pernah makan dikedua restoran = (63 + 83) – 130 = 16 orang. Tidak mungkin cuma 12.
Toko Jarod membeli HP seharga Rp 1.200.000 dan akan dijual kembali dengan mengharapkan laba 20%. HP ini akan dipajangkan dengan diskon 20%. Berapa harga bandrol HP itu agar penjual tetap untung 20% dari harga belinya?;Rp2.000.000;Rp1.800.000;Rp1.750.000;Rp1.600.000;;b;;;;;;"Untung % = (HJ – HB) / 2 × 100 % ; 0,2 = (HJ ? 1.200.000) / 1.200.000 ; HJ = 1.440.000 ; Maka 1.440.000 × 100/80 = 1.800.000"
Jika tabung P tingginya dua kali tabung Q dan panjang jari-jarinya setengah dari panjang jari-jari tabung Q. berapakah perbandingan isi tabung P terhadap isi tabung Q?;01:04;01:02;01:01;02:01;;b;;;;;;"Keterangan : R = jari-jari , V = volume ; Tp = tq ; Rp = 1?2 Rq ; $\frac { { V }_{ p } }{ { V }_{ q } } =\frac { { \pi tR }^{ 2 } }{ { \pi tR }^{ 2 } } =\frac { (\frac { 1 }{ 2 } { R }_{ q }{ ) }^{ 2 }x2{ t }_{ Q } }{ { R }_{ q }^{ 2 }x2{ t }_{ Q } } =\frac { (\frac { 1 }{ 4 } { R }_{ q }{ ) }^{ 2 }x2 }{ { R }_{ q }^{ 2 } } =\frac { 2 }{ 4 } =\frac { 1 }{ 2 }$ "
Pak Mariono membagikan 40 buah buku dan 30 buah pensil kepada sekelompok anak yatim. Setiap anak mendapatkan sama banyak untuk setiap jenisnya. Berapa orang anak yatim paling banyak yang dapat menerima buku dan pensil?;5 orang;10 orang;15 orang;20 orang;;c;;;;;;"15 % × 2.800.000 = 420.000 ; Maka 420.000 – 150.000 =270.000"
Dalam suatu deret bilangan, setiap bilangan setelah bilangan pertama adalah 1/3 dari bilangan yang mendahuluinya. Jika bilangan ke 5 dalam deretan tersebut adalah 3, berapakah bilangan ke 2 ?;01-Mar;1;27;81;;d;;;;;;"a, 1/3 a, 1/9 a, 1/27 a, 1/81 a ; 1/81 a = 3 ; a = 243"
"Jika m sembarang bilangan bulat positif dan diketahui 2x + m = y; m + y = x dan x + y = z. Maka maksimum yang mungkn dari x + y + z adalah";10;20;30;40;;a;;;;;;"m > 0 ; 2x + m = y ; m + y = x ; x + y = z ; 2x + m = y ; m + y = x + ; 2x + 2m + y = y + x ; x = ?2m ; m + y = -2m sehingga y = -3m ; z = -2m +(-3m)=-5m ; nilai maksimum bernilai positif = x + y + z = 2m + 3m + 5m = 10m"
"Diketahui: a + 2b + 3c = 12 ; 2ab + 3ac + 6bc = 48 ; Maka nilai a + b + c = . . . .";07-Mar;08-Mar;10-Mar;22-Mar;;d;;;;;;"Misalkan x = a, y = 2b, dan z = 12, maka diperoleh persamaan: x + y + z = 12 ; xy + xz + yz = 48 ; $(x+y+z)^{ 2 }={ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }+2(xy+xz+yz)={ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }=(x+y+z)^{ 2 }–2(xy+xz+yz);{ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }=(12)^{ 2 }–2(48);{ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }=48$ ; Karena diberikan xy + xz + yz = 48 dan perhitungan juga diperoleh ${ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }=48$ , maka ${ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }$ = xy + xz + yz ; ${ x }^{ 2 }+{ y }^{ 2 }+{ z }^{ 2 }$ - xy + xz + yz = 0 ; $(\frac { 1 }{ 2 } { x }^{ 2 }–xy+\frac { 1 }{ 2 } { y }^{ 2 })+(\frac { 1 }{ 2 } { x }^{ 2 }–xz+\frac { 1 }{ 2 } { z }^{ 2 })+(\frac { 1 }{ 2 } { y }^{ 2 }–yz+\frac { 1 }{ 2 } { z }^{ 2 })$ = 0 ; $\frac { 1 }{ 2 } (x-y)^{ 2 }+(x-z)^{ 2 }+(y-z)^{ 2 }=0$ ; Persamaan tersebut dipenuhi jika x = y = z, sehingga karena x + y + z = 12, maka x = y = z = 4, maka: x = a, a = 4 ; y = 2b, b = 2 ; z = 3c, c = 4/3 ; Jadi, a + b + c = 22/3"
X adalah 19,95% dari 77. Dan y = 77% dari 19,95.;x dan y nilainya sama;x – y = bilangan negatif;x /y = 1/77;y > x;;a;;;;;;x = 19,95% dari 77 = (19,95/100). 77 Dan y =77% dari 19,95 = (77/100). 19,95. Jadi nilai dari x = y.
Jika Santi bisa membaca 2 halaman koran tiap x menit. Maka dalam 7 menit Santi mampu membaca berapa halaman?;14/2x;14/x;x/14;7/2x;;b;;;;;;Jadi dalam 7 menit = 7.(2/x) = 14/x halaman.
Dandy adalah seorang tukang cat kerajinan papan catur. Dalam 5 menit dia mampu mengecat 25% dari papan berwarna hitam. Berapa lamakah dia mengecat sampai selesai keseluruhan papan catur ? (Keterangan: sebuah papan catur terdiri dari 64 kotak);20 menit;40 menit;50 menit;80 menit;;b;;;;;;Dalam 5 menit bisa mengecat 25% x 64/2 (ingat hitam saja). = 8 kotak. Jadi untuk keseluruhan papan, 64/8 x 5 menit = 40 menit.
Jika x = 21875 – (2/3) 21875 Dan y = 21875/3 Maka pernyataan yang benar adalah…;x dan y tak bisa ditentukan;x – y = 0;y > x;x/y = 1/3;;b;;;;;;x = 21875 – (2/3) 21875 = 21875/3. Jadi x = y atau x-y = 0 (B)
